algorithm_name,size,runs,optimal_runs,optimality_pct,H_mean_all,H_std_all,time_mean_all,time_std_all,states_mean_all,states_std_all,time_mean_success,time_std_success,states_mean_success,states_std_success
GA,4,30.0,30.0,100.0,0.0,0.0,0.00018096466713662568,1.3700991591399026e-05,101.0,0.0,0.00018096466713662568,1.3700991591399026e-05,101.0,0.0
HC,4,30.0,10.0,33.333333333333336,0.6666666666666666,0.4794633014853841,3.405193322881435e-05,8.174838700850645e-06,33.13333333333333,8.609270598017295,3.065430064452812e-05,7.673146401136498e-06,29.4,7.947046970765655
SA,4,30.0,30.0,100.0,0.0,0.0,9.955293329160971e-05,7.470437324804454e-05,59.1,46.40923659552386,9.955293329160971e-05,7.470437324804454e-05,59.1,46.40923659552386
random,4,30.0,30.0,100.0,0.0,0.0,0.00038536150047245127,0.00035597746702182355,159.26666666666668,148.17276340843466,0.00038536150047245127,0.00035597746702182355,159.26666666666668,148.17276340843466
GA,8,30.0,30.0,100.0,0.0,0.0,0.0012450331334548537,0.0005997166065462825,290.46666666666664,136.02021486005202,0.0012450331334548537,0.0005997166065462825,290.46666666666664,136.02021486005202
HC,8,30.0,3.0,10.0,1.0,0.454858826147342,0.0005989953671814874,9.542856319155415e-05,245.53333333333333,39.376812127613036,0.0005757960025221109,5.796355468182517e-06,232.0,0.0
SA,8,30.0,8.0,26.666666666666668,0.7333333333333333,0.4497764451088037,0.001271999266706795,0.0002405493433953862,409.73333333333335,78.32555109300532,0.0009726809985295404,0.0003132336576150974,310.0,99.57194097019214
random,8,30.0,11.0,36.666666666666664,0.6333333333333333,0.4901325178535609,0.195578302667127,0.08490073236548056,38561.6,16836.729522294303,0.09613763845515098,0.06070388014699372,18802.636363636364,11999.448781279307
GA,10,30.0,28.0,93.33333333333333,0.4666666666666667,1.7759569219172369,0.07681799353401099,0.15303557280771282,14525.866666666667,29095.27798011612,0.04477540289371973,0.09580853343410874,8420.5,18149.39028156573
HC,10,30.0,0.0,0.0,1.5666666666666667,0.6789105539243627,0.0016524163671419955,0.0003719881362042461,469.2,108.9898445126726,,,,
SA,10,30.0,3.0,10.0,1.0,0.454858826147342,0.0018611892005234647,0.00019284905317258703,444.06666666666666,45.55855143872995,0.0013595213337490957,0.00033712000781036943,327.6666666666667,86.68525441696144
random,10,30.0,0.0,0.0,1.5666666666666667,0.5040069329937308,0.6736100642330711,0.008046739194073694,100001.0,0.0,,,,
GA,12,30.0,26.0,86.66666666666667,0.9,2.656806483290639,0.21616078083316098,0.3434693599641523,32912.6,52566.38643927084,0.09886433988448026,0.17179909548116568,14899.0,25967.68487794012
HC,12,30.0,2.0,6.666666666666667,1.8,0.7611243951073873,0.0036895216670624603,0.0007656689694979258,772.7333333333333,160.04092867318255,0.0048238749950542115,0.00032247463410286673,1005.0,94.75230867899737
SA,12,30.0,3.0,10.0,1.2,0.6102571532587293,0.0024764531665520434,0.0002780392012313906,449.93333333333334,49.92472494585765,0.001684790001794075,0.00017250712680834425,305.3333333333333,35.94903800289144
random,12,30.0,0.0,0.0,2.3333333333333335,0.6064784348631227,1.2844219126326304,0.015476963266644442,150001.0,0.0,,,,
GA,15,30.0,24.0,80.0,1.9666666666666666,4.197563606413256,0.5762364380992949,0.723111584177537,63653.26666666667,79994.1439541728,0.26881696941594174,0.40760165148945277,29566.333333333332,44790.597835848916
HC,15,30.0,1.0,3.3333333333333335,1.7333333333333334,0.7396799556440673,0.011957327932759654,0.0022222376063668558,1646.5333333333333,298.1718705173513,0.010807402999489568,0.0,1484.0,0.0
SA,15,30.0,1.0,3.3333333333333335,1.8333333333333333,0.6989318615762461,0.003755844199379984,0.0002936095277183928,470.2,37.24513391035129,0.0022618969960603863,0.0,273.0,0.0
random,15,30.0,0.0,0.0,3.933333333333333,0.5832922809856748,2.374488341001173,0.03597492262390754,200001.0,0.0,,,,
